keywords,score,method,filename
design alternative would meet objective 6,24.3219696969697,rake,SanJose16.pdf
design alternative would meet objective 3,24.299747474747477,rake,SanJose16.pdf
public agency make certain findings regarding,23.833333333333332,rake,SanJose16.pdf
candidate city landmark structures without preserving,23.816666666666666,rake,SanJose16.pdf
photographs – digital photographic documentation,23.185714285714283,rake,SanJose16.pdf
infill sites near transit corridors,22.666666666666668,rake,SanJose16.pdf
stockpile management including dust control,22.5,rake,SanJose16.pdf
project construction could impact nesting birds,22.343055555555555,rake,SanJose16.pdf
west san carlos street,22.27155172413793,rake,SanJose16.pdf
san josé (“ city ”),22.04655172413793,rake,SanJose16.pdf
conventional properties within 30 feet,21.905555555555555,rake,SanJose16.pdf
// // // // nvf,21.085714285714285,rake,SanJose16.pdf
“ foster informed decision making,20.999999999999996,rake,SanJose16.pdf
eight candidate city landmark structures,20.983333333333334,rake,SanJose16.pdf
epa tier 3 engines standards,20.977777777777778,rake,SanJose16.pdf
avian breeding season could result,20.952380952380953,rake,SanJose16.pdf
would potentially generate substantial vibration,20.87442528735632,rake,SanJose16.pdf
42 percent parking reduction located,20.75,rake,SanJose16.pdf
early 20th century residential development,20.583333333333332,rake,SanJose16.pdf
annual pm10 concentration would exceed,20.55833333333333,rake,SanJose16.pdf
reporting program (“ mmrp ”),20.25,rake,SanJose16.pdf
epa particulate matter emissions standards,20.033333333333335,rake,SanJose16.pdf
west san carlos mixed,19.807266009852214,rake,SanJose16.pdf
vibration impacts would also assist,19.7256157635468,rake,SanJose16.pdf
environmental review supervising planner prior,19.686363636363637,rake,SanJose16.pdf
alternative would meet objective 2,19.6469696969697,rake,SanJose16.pdf
possible nesting habitats immediately adjacent,19.491666666666664,rake,SanJose16.pdf
site currently contains approximately 7,19.272727272727273,rake,SanJose16.pdf
experience moving similar historic structures,19.25,rake,SanJose16.pdf
adjacent structures within 30 feet,18.93888888888889,rake,SanJose16.pdf
activities involving vibrating equipment would,18.590384615384615,rake,SanJose16.pdf
project would support job growth,18.491666666666667,rake,SanJose16.pdf
City Clerk,0.00024558067312126485,yake,SanJose16.pdf
WEST SAN CARLOS,0.000284739178031857,yake,SanJose16.pdf
SAN CARLOS STREET,0.0005070151445293999,yake,SanJose16.pdf
Contact the Office,0.0006029145806786498,yake,SanJose16.pdf
PROJECT,0.0006456305001285325,yake,SanJose16.pdf
City Council,0.0006923475279855799,yake,SanJose16.pdf
City,0.0007369808463461169,yake,SanJose16.pdf
City Clerk DRAFT,0.0011927639400788471,yake,SanJose16.pdf
SAN CARLOS,0.0013149840937756114,yake,SanJose16.pdf
WEST SAN,0.0013260863210155468,yake,SanJose16.pdf
Council Agenda,0.0013672767149455595,yake,SanJose16.pdf
San Carlos Urban,0.0016039384053928734,yake,SanJose16.pdf
San José,0.0021326016758257205,yake,SanJose16.pdf
proposed Project,0.0024325897525636704,yake,SanJose16.pdf
project site,0.0026121346369415914,yake,SanJose16.pdf
DRAFT,0.0029260407698831654,yake,SanJose16.pdf
alternative,0.00303492038945678,yake,SanJose16.pdf
final document,0.0032502768959999507,yake,SanJose16.pdf
SAN,0.003409105690960841,yake,SanJose16.pdf
PROJECT ENVIRONMENTAL IMPACT,0.0035051715929404433,yake,SanJose16.pdf
004 vehicle parking commercial residential total studio jr1 bed 1 bed 2 bed 3 bed sq,140.45162933287588,rake,SanJose17.pdf
parking commercial residential total studio jr1 bed 1 bed 2 bed 3 bed sq,131.51948647573303,rake,SanJose17.pdf
24 envision san josé 2040 general plan conformance figure 2 general plan land use map land use designation,103.21406082952885,rake,SanJose17.pdf
020 general plan urban village growth area west san carlos urban village zoning cp commercial pedestrian,86.68580895375689,rake,SanJose17.pdf
height development standard required phase 1 phase 2 front setback none none none side,70.03280632411067,rake,SanJose17.pdf
take approximately 24 surrounding uses general plan zoning district existing use north urban village,67.50939311847691,rake,SanJose17.pdf
15 maximum height 95 feet 92 feet 92 feet https :// library,65.3552471532091,rake,SanJose17.pdf
75 60 119 6 326 spaces provided 189 vehicle spaces provided,64.772847985348,rake,SanJose17.pdf
existing land use )” caleemod model included overestimated land use sizes associated,62.628687261522366,rake,SanJose17.pdf
ghg 2030 ” caleemod models included incorrect operational vehicle trip rates,62.567303529803524,rake,SanJose17.pdf
use project environmental impact report ceqa planner maira blanco recommendation staff recommends,61.7605953681515,rake,SanJose17.pdf
onto adjacent public roads using wet power vacuum street sweepers,61.56986241400876,rake,SanJose17.pdf
project planner alec atienza ceqa clearance west san carlos street mixed,60.33499116258184,rake,SanJose17.pdf
south coast air quality management district covers los angeles,58.05204703832753,rake,SanJose17.pdf
15 feet maximum height 95 feet 92 feet 92 feet,55.36654761904762,rake,SanJose17.pdf
west san carlos urban village plan land use designation,52.215361673230234,rake,SanJose17.pdf
envision san josé 2040 general plan land use,50.97023619565468,rake,SanJose17.pdf
pending land use development proposals staff followed council policy 6,50.84037780545264,rake,SanJose17.pdf
multifamily residential west urban village cp commercial pedestrian restaurant file,50.25579355037748,rake,SanJose17.pdf
furthers envision san josé 2040 general plan strategies,48.807142458790445,rake,SanJose17.pdf
permit special use permit proposed land use mixed use residential,48.29999789457226,rake,SanJose17.pdf
1544 west san carlos mixed use 3 city,46.38715850476308,rake,SanJose17.pdf
1544 west san carlos mixed use 2 city,46.3070719246765,rake,SanJose17.pdf
1544 west san carlos mixed use 6 city,46.03051514811972,rake,SanJose17.pdf
caleemod annual output files provide annual average emissions estimates,45.90800865800866,rake,SanJose17.pdf
san josé – august 2021 concrete substantial evidence justifying,45.88516437494505,rake,SanJose17.pdf
1544 west san carlos mixed use 4 city,45.56897668658126,rake,SanJose17.pdf
1544 west san carlos mixed use 15 city,45.521357638962215,rake,SanJose17.pdf
floor area 17 35 48 70 3 parking ratio 1,45.47941880814221,rake,SanJose17.pdf
1544 west san carlos mixed use 7 city,45.42611954372411,rake,SanJose17.pdf
1544 west san carlos mixed use 1 city,45.37850049610507,rake,SanJose17.pdf
1544 west san carlos mixed use 17 city,45.296249413853985,rake,SanJose17.pdf
1544 west san carlos mixed use 5 city,45.16897668658126,rake,SanJose17.pdf
1544 west san carlos mixed use 16 city,45.06897668658126,rake,SanJose17.pdf
1544 west san carlos mixed use 14 city,45.04516716277173,rake,SanJose17.pdf
ca 95014 viji mani 22561 poppy drive cupertino,45.0,rake,SanJose17.pdf
1544 west san carlos mixed use 10 city,44.98564335324792,rake,SanJose17.pdf
consolidate stop locations along west san carlos street,44.968500947610266,rake,SanJose17.pdf
revised draft environmental impact report (“ rdeir ”) subject,44.960922916415875,rake,SanJose17.pdf
1544 west san carlos mixed use 13 city,44.84170395930853,rake,SanJose17.pdf
1544 west san carlos mixed use 9 city,44.56897668658126,rake,SanJose17.pdf
1544 west san carlos mixed use 12 city,44.56897668658126,rake,SanJose17.pdf
1544 west san carlos mixed use 11 city,44.56897668658126,rake,SanJose17.pdf
envision san josé 2040 general plan 3,44.4586576103056,rake,SanJose17.pdf
1544 west san carlos mixed use 8 city,44.44397668658126,rake,SanJose17.pdf
stevens creek urban design policies .. https :// www,44.22823880961439,rake,SanJose17.pdf
1536 west san carlos historic resources evaluation exhibit h,44.0858157324566,rake,SanJose17.pdf
zelkova serrata ‘ schmidtlow ’ planted 35 feet,44.00512663398693,rake,SanJose17.pdf
san josé – august 2021 carcinogenic formaldehyde emissions identified,43.70392894370963,rake,SanJose17.pdf
004 page 5 commissioner lardinois seconded commissioner oliverio ’,43.67101003191974,rake,SanJose17.pdf
high intensity use along west san carlos street,43.60686940974922,rake,SanJose17.pdf
envision san josé 2040 general plan policies,43.48662963827763,rake,SanJose17.pdf
supportive retail spaces along west san carlos street,43.437250947610266,rake,SanJose17.pdf
"bay area air quality management district (“ baaqmd ”),",43.21649432676137,rake,SanJose17.pdf
multifamily residential uses across west san carlos street,43.01610719123289,rake,SanJose17.pdf
buena vista avenue includes dark formed metal panels,42.095454545454544,rake,SanJose17.pdf
ground floor retail along west san carlos street,41.724383300551445,rake,SanJose17.pdf
san josé – august 2021 quality management district,41.4290945301557,rake,SanJose17.pdf
west san carlos street urban village plan,40.43688332098139,rake,SanJose17.pdf
summer output files provide daily maximum emissions estimates,39.78619047619048,rake,SanJose17.pdf
multifamily residential east urban village cn commercial neighborhood,39.784891679847924,rake,SanJose17.pdf
envision san josé 2040 general plan,39.64047579212378,rake,SanJose17.pdf
west san carlos urban village plan 4,39.385601269699336,rake,SanJose17.pdf
way along entire project street frontage per city standards,39.34564788018396,rake,SanJose17.pdf
west san carlos urban village plan would,39.19780784246929,rake,SanJose17.pdf
adopted west san carlos urban village plan,38.95702984112791,rake,SanJose17.pdf
1536 west san carlos mixed use project,38.800131633200124,rake,SanJose17.pdf
34 gross acres proposed density 129 dwelling units,38.790346991509786,rake,SanJose17.pdf
urban village general plan land use designation,38.75555018430943,rake,SanJose17.pdf
approved west san carlos urban village plan,38.69594609728555,rake,SanJose17.pdf
street improvements along west san carlos street,38.6543983835077,rake,SanJose17.pdf
west san carlos urban village plan goals,38.567419451517516,rake,SanJose17.pdf
project frontage along west san carlos street,38.45791893702825,rake,SanJose17.pdf
west san carlos urban village plan allows,38.385601269699336,rake,SanJose17.pdf
envision san jose 2040 general plan,38.363990004010084,rake,SanJose17.pdf
project – existing land use designation alternative 3,38.27975617852667,rake,SanJose17.pdf
west san carlos street urban village ).,38.16660538564389,rake,SanJose17.pdf
residential development along west san carlos street,38.15667742898983,rake,SanJose17.pdf
west san carlos urban village design guidelines,38.13225132507032,rake,SanJose17.pdf
located directly across west san carlos street,37.876087105196426,rake,SanJose17.pdf
commercial activity along west san carlos street,37.47937051282766,rake,SanJose17.pdf
retail space along west san carlos street,37.455343052873424,rake,SanJose17.pdf
commercial businesses along west san carlos street,37.279370512827654,rake,SanJose17.pdf
"use development transportation analysis (“ ta ”), provided",37.01277651785136,rake,SanJose17.pdf
wide sidewalks along west san carlos street,37.00421523332455,rake,SanJose17.pdf
1544 west san carlos street mixed,37.002631561929554,rake,SanJose17.pdf
environmental ‘ alarm bell ’ whose purpose,36.881432385160636,rake,SanJose17.pdf
residential units 173 units demolition three existing commercial buildings,36.82812644687301,rake,SanJose17.pdf
west san carlos urban village ranges,36.67629894411794,rake,SanJose17.pdf
ulmus ‘ morton ’ planted 35 feet,36.50512663398693,rake,SanJose17.pdf
west san carlos project environmental impact report,36.02365666825894,rake,SanJose17.pdf
planning commission staff report recommendation property information project setting,36.01503311503312,rake,SanJose17.pdf
– planning commission staff report http :// www,35.824211315790265,rake,SanJose17.pdf
west san carlos urban village plan,35.385601269699336,rake,SanJose17.pdf
1530 west san carlos street would remain,35.342997082669775,rake,SanJose17.pdf
24 public outreach staff followed council policy 6,35.23456326870961,rake,SanJose17.pdf
interior setback none none none side,35.20616883116883,rake,SanJose17.pdf
mat slab foundations cause lower vibration levels,35.16538658474142,rake,SanJose17.pdf
004 page 6 climate smart san jose,35.08751628393171,rake,SanJose17.pdf
frontage along west san carlos street,34.801834280943595,rake,SanJose17.pdf
west san carlos urban village design,34.75129894411794,rake,SanJose17.pdf
leed eq credit indoor air quality assessment requires,34.59966608594657,rake,SanJose17.pdf
oriented toward west san carlos street,34.477760206869526,rake,SanJose17.pdf
final environmental impact report (“ feir ”) prepared,34.36167077966374,rake,SanJose17.pdf
ground floor spaces along busy street frontages,34.349988478297306,rake,SanJose17.pdf
located along west san carlos street,34.16444689355621,rake,SanJose17.pdf
san josé – august 2021 emit formaldehyde,34.09728558706627,rake,SanJose17.pdf
west san carlos mixed use project,34.00013163320012,rake,SanJose17.pdf
approved west san carlos urban village,33.98664377170415,rake,SanJose17.pdf
view along west san carlos street,33.718500947610266,rake,SanJose17.pdf
california air resources board air toxic control measures,33.65151320414478,rake,SanJose17.pdf
phase 2 would also take approximately 24 months,33.53471739528077,rake,SanJose17.pdf
san josé municipal code establishes evaluation criteria,33.46770228859752,rake,SanJose17.pdf
project – existing land use designation alternative,33.46157436034485,rake,SanJose17.pdf
san carlos st mixed use development,33.39614750912794,rake,SanJose17.pdf
"environmental impact report (“ eir ”), except",33.351093856586814,rake,SanJose17.pdf
proposed west san carlos street mixed,33.283815494276276,rake,SanJose17.pdf
use project significant environmental impacts air quality impact,33.21498803454542,rake,SanJose17.pdf
oriented towards west san carlos street,32.811093540202855,rake,SanJose17.pdf
san josé – august 2021 swape ’,32.79581499883097,rake,SanJose17.pdf
004 page 4 commissioner discussion commissioner caballero asked,32.74748062015504,rake,SanJose17.pdf
west san carlos street project frontage,32.71717819628751,rake,SanJose17.pdf
two standard environmental permit conditions (# 38g,32.61808308779291,rake,SanJose17.pdf
analysis see special use permit finding 3,32.5320527916191,rake,SanJose17.pdf
san josé – august 2021 southern portion,32.522285587066264,rake,SanJose17.pdf
scaled conceptual traffic signal plan showing right,32.499045915324984,rake,SanJose17.pdf
phase 2 would include 70 residential units,32.26305950813032,rake,SanJose17.pdf
san josé – august 2021 concedes,32.22228558706627,rake,SanJose17.pdf
california environmental quality act (“ ceqa ”),32.04987732244345,rake,SanJose17.pdf
climate smart san josé mobility goals,32.003467838836755,rake,SanJose17.pdf
1544 west san carlos mixed,31.951349510647503,rake,SanJose17.pdf
normal conventional construction located within 30 feet,31.596212045646418,rake,SanJose17.pdf
1544 west san carlos street,31.568669297778612,rake,SanJose17.pdf
draft environmental impact report (“ deir ”),31.34256542849317,rake,SanJose17.pdf
figure 3 zoning map development standards setbacks,31.326521804033046,rake,SanJose17.pdf
zoning ordinance requires 328 vehicle parking spaces,31.309734219954276,rake,SanJose17.pdf
multiple residence historic resources eight residential structures located,31.244162683158194,rake,SanJose17.pdf
california air resources board (“ carb ”).,31.209063899063896,rake,SanJose17.pdf
final environmental impact report (“ feir ”),31.207824625817583,rake,SanJose17.pdf
public outreach staff followed council policy 6,31.09170612585247,rake,SanJose17.pdf
phase two would include 70 residential units,31.070418815489624,rake,SanJose17.pdf
exhibit b – special use permit resolution,31.05259199259308,rake,SanJose17.pdf
south coast air quality management district,31.052047038327526,rake,SanJose17.pdf
"1530 west san carlos street ),",31.01942687353619,rake,SanJose17.pdf
approved stevens creek urban village plan,30.769467941698068,rake,SanJose17.pdf
west san carlos urban village,30.67629894411794,rake,SanJose17.pdf
project would provide 189 vehicle parking spaces,30.59814678996017,rake,SanJose17.pdf
building 1 would include 79 residential units,30.384426236639904,rake,SanJose17.pdf
california building industry ass ’ n v,30.298888444266595,rake,SanJose17.pdf
enjoys seeing urban village plans built,30.276136578004152,rake,SanJose17.pdf
san josé – august 2021 impact,30.148211512992194,rake,SanJose17.pdf
west san carlos village plan,30.046891592279977,rake,SanJose17.pdf
project would also plant street trees along,29.96788977845316,rake,SanJose17.pdf
west san carlos street –,29.937219666328982,rake,SanJose17.pdf
west san carlos street mixed,29.911722471020465,rake,SanJose17.pdf
san josé – august 2021 information,29.79371415849484,rake,SanJose17.pdf
drawings – prepare sketch floor plans,29.785775248933145,rake,SanJose17.pdf
across west san carlos street,29.76347449258381,rake,SanJose17.pdf
san josé – august 2021 contrast,29.722285587066267,rake,SanJose17.pdf
project would also include ample bicycle parking,29.67115877903674,rake,SanJose17.pdf
1536 west san carlos mixed,29.660440419738414,rake,SanJose17.pdf
activating west san carlos street,29.477760206869526,rake,SanJose17.pdf
california airborne toxics control measure title 13,29.436852864484443,rake,SanJose17.pdf
san josé – august 2021 inadequate,29.422285587066266,rake,SanJose17.pdf
placing complementary land uses like residential,29.38450083051721,rake,SanJose17.pdf
national register photo policy fact sheet,29.357142857142858,rake,SanJose17.pdf
phase 1 would include 103 residential units,29.334488079558888,rake,SanJose17.pdf
providing high density mixed use residential development,29.323999271161526,rake,SanJose17.pdf
specific sites within urban village area boundaries,29.321435996763814,rake,SanJose17.pdf
overestimated existing land use sizes,29.17103024480074,rake,SanJose17.pdf
existing cp commercial pedestrian zoning district,29.10840899896372,rake,SanJose17.pdf
west san carlos street frontage,29.061093540202855,rake,SanJose17.pdf
project would provide 49 motorcycle parking spaces,29.05767059948398,rake,SanJose17.pdf
llc 22561 poppy drive cupertino,29.0,rake,SanJose17.pdf
west san carlos street connecting,28.977760206869522,rake,SanJose17.pdf
see special use permit finding 2,28.95196621153252,rake,SanJose17.pdf
standard permit conditions include best management practices,28.92263619696176,rake,SanJose17.pdf
construction aq ” caleemod models included,28.856324569739204,rake,SanJose17.pdf
san josé – august 2021 response,28.833396698177378,rake,SanJose17.pdf
phase one would include 103 residential units,28.78583383525247,rake,SanJose17.pdf
6 per million increased cancer lifetime risk,28.766346153846158,rake,SanJose17.pdf
santa clara regional wastewater facility represented,28.647435897435898,rake,SanJose17.pdf
city streetscape projects .” street trees shall,28.62895183113497,rake,SanJose17.pdf
use project (“ project ”) located,28.47095258472308,rake,SanJose17.pdf
project construction would generate vibration levels reaching,28.27246991580277,rake,SanJose17.pdf
b )( 1 ); 14 ccr 15126,28.243290043290045,rake,SanJose17.pdf
see special use permit finding b,28.080537640103948,rake,SanJose17.pdf
urban village land use designation,28.07958119206136,rake,SanJose17.pdf
annual operational emissions remains incorrect liuna ’,28.025452488687783,rake,SanJose17.pdf
see special use permit finding 1,28.02339478296109,rake,SanJose17.pdf
1530 west san carlos street,27.89442687353619,rake,SanJose17.pdf
bay area air quality management district,27.879301344305237,rake,SanJose17.pdf
corner none none none rear,27.878787878787875,rake,SanJose17.pdf
"transportation analysis (“ ta ”), provided",27.71757575757576,rake,SanJose17.pdf
san josé (“ city ”),27.684901044806043,rake,SanJose17.pdf
san josé municipal code section 24,27.59627371716895,rake,SanJose17.pdf
general plan land use designation,27.505729395778957,rake,SanJose17.pdf
project frontages include ground floor commercial space,27.44953375197015,rake,SanJose17.pdf
design alternative would also meet objective 4,27.42887323943662,rake,SanJose17.pdf
design stage select composite wood materials based,27.417691622103384,rake,SanJose17.pdf
see special use permit finding c,27.39568915525546,rake,SanJose17.pdf
pressure sodium fixtures unless otherwise approved,27.310344827586206,rake,SanJose17.pdf
toxic air contaminant (“ tac ”).,27.28142857142857,rake,SanJose17.pdf
commission legal counsel vera todorov noted,27.280086580086582,rake,SanJose17.pdf
air protection enterprise (“ swape ”).,27.23142857142857,rake,SanJose17.pdf
project requires 328 vehicle parking spaces,27.203568422318423,rake,SanJose17.pdf
baaqmd significance thresholds evaluate average daily emissions,27.01684499710816,rake,SanJose17.pdf
include relevant information precludes informed decisionmaking,26.99461697722567,rake,SanJose17.pdf
gallon container 19 – 38 inches 3,26.92049842049842,rake,SanJose17.pdf
exemption cannot issue without considering –,26.65859365859366,rake,SanJose17.pdf
nearby left turn lanes would continue,26.534428794992177,rake,SanJose17.pdf
special use permit plan set exhibit,26.49346049974066,rake,SanJose17.pdf
san jose (“ city ”),26.408415256692347,rake,SanJose17.pdf
project fronts san carlos street,26.374351192068104,rake,SanJose17.pdf
lot line adjustment merging three lots,26.320833333333333,rake,SanJose17.pdf
air district could enact ceqa guidelines,26.287746806039486,rake,SanJose17.pdf
san josé – august 2021,26.222285587066267,rake,SanJose17.pdf
environmental analysis considered three project alternatives outlined,26.179265407258363,rake,SanJose17.pdf
san josé municipal code section 20,26.16770228859752,rake,SanJose17.pdf
public works staff would evaluate construction impacts,26.077693193864164,rake,SanJose17.pdf
project would provide 173 dwelling units,26.070305880869263,rake,SanJose17.pdf
multifamily residential south urban village,25.94783163844005,rake,SanJose17.pdf
used car sales business moved across,25.938655462184872,rake,SanJose17.pdf
eligible city landmarks annexation date february 5,25.92568728522337,rake,SanJose17.pdf
certified level 3 diesel particulate filters,25.842424242424244,rake,SanJose17.pdf
south coast air quality management,25.718713704994194,rake,SanJose17.pdf
"indoor sources using environmental chambers ,”",25.581101996594953,rake,SanJose17.pdf
retail uses placed within walking distance,25.560887512899896,rake,SanJose17.pdf
san jose (“ city ”).,25.339184487461576,rake,SanJose17.pdf
acre allowed density 250 dwelling units,25.334920634920636,rake,SanJose17.pdf
004 page 7 significant unavoidable impacts cul,25.28590944009731,rake,SanJose17.pdf
cp commercial pedestrian zoning district,25.26713915769388,rake,SanJose17.pdf
wide sidewalks along buena vista avenue,25.071909571909572,rake,SanJose17.pdf
923 square feet less common space,25.04816905721511,rake,SanJose17.pdf
maximum increased cumulative lifetime cancer risks,25.01,rake,SanJose17.pdf
24 state law assembly bill 3194,24.976190476190478,rake,SanJose17.pdf
duly noticed per council policy 6,24.863553113553117,rake,SanJose17.pdf
west san carlos mixed,24.860440419738413,rake,SanJose17.pdf
project would also implement additional tdm measures,24.85238213794552,rake,SanJose17.pdf
california regional water quality control board,24.847720249132315,rake,SanJose17.pdf
project would reduce vehicle miles traveled,24.810728203644526,rake,SanJose17.pdf
stevens creek urban design policies,24.759863523573202,rake,SanJose17.pdf
san josé municipal zoning code,24.719426426528557,rake,SanJose17.pdf
square foot mixed use building located,24.703788714890745,rake,SanJose17.pdf
applicable santa clara valley habitat plan,24.599385281840824,rake,SanJose17.pdf
environmental review supervising planner prior,24.523775989268948,rake,SanJose17.pdf
public street frontage within two feet,24.481250663916743,rake,SanJose17.pdf
west san carlos street,24.477760206869522,rake,SanJose17.pdf
eir process .” san joaquin raptor,24.42764250138351,rake,SanJose17.pdf
